id,value,category
0,5.403074198982283,C
1,47.20788975787329,C
2,44.011811265180235,B
3,39.24360759702202,A
4,81.51649878843142,B
5,55.76659854520035,B
6,28.695545530697164,B
7,48.18999431433784,C
8,76.11308116015387,A
9,47.44963792129153,C
10,43.61466466589717,A
11,89.49273031456302,C
12,0.9000073488389493,A
13,35.73396489850303,B
14,69.7164705907498,A
15,50.83599983099475,C
16,66.90215074393771,C
17,40.65684866220185,B
18,80.33108559801639,A
19,21.561620728053686,A
20,66.29013938219802,C
21,43.72695351190485,A
22,51.38070171697065,A
23,66.74071052224632,A
24,3.4915181236157,C
25,72.52600177655529,A
26,14.692528050524945,C
27,56.92354134729214,A
28,77.60159862202033,B
29,53.00840660899483,C
30,21.801144855198608,C
31,6.111862260085443,B
32,17.049710777150683,B
33,30.541428811627867,C
34,16.83126284681903,C
35,55.76065659690149,A
36,64.70654086673908,B
37,9.90107617810022,C
38,1.1351000606337647,B
39,36.7251643620622,B
40,24.987756270453577,A
41,21.555136242706308,C
42,97.54112452811941,C
43,28.895910471871677,B
44,71.14980434689222,C
45,44.195823878866214,B
46,39.30313686181282,C
47,81.29717917806354,C
48,26.32011893721429,B
49,65.98602116244574,B
50,19.481818451890543,B
51,47.42801530110362,A
52,22.626395547864007,B
53,46.316673868496984,B
54,33.71448458297594,A
55,87.57883676489111,C
56,96.35255761854371,C
57,27.063476381779473,C
58,58.75178332796218,C
59,31.015565531205837,A
60,86.01750428069585,B
61,48.05797856047577,A
62,24.98668423865761,A
63,64.61869570143955,B
64,15.332103882424109,A
65,41.975270846014624,C
66,71.24679280237824,B
67,60.28052002232378,C
68,22.995819661890792,B
69,54.261319174923116,A
70,24.833658958206904,C
71,71.65792241884114,B
72,47.852587431730974,B
73,24.508674231297313,B
74,56.50143032032774,B
75,5.25814105779574,A
76,36.85570319344319,A
77,32.53779575676561,B
78,69.85634854741969,C
79,14.98121406504016,A
80,48.0108030319163,B
81,3.001653652117764,C
82,26.138914246208856,C
83,26.655957708167975,A
84,15.492576719168694,A
85,49.943508961203435,B
86,62.608748204465655,C
87,93.20104640959538,B
88,58.84618962751175,B
89,96.27654724507849,C
90,73.06127863307839,B
91,72.6454184738896,A
92,57.43388131101296,A
93,80.92386858603315,B
94,79.50728630814034,C
95,85.0178142646841,A
96,77.73724286625996,C
97,10.090474311789798,B
98,28.789456366895294,A
99,45.216762290756606,B
