id,value,category
0,50.28675512671016,C
1,3.277871179001235,A
2,52.90199523172853,A
3,55.408620597731684,B
4,98.6653039839281,C
5,22.311563813135994,A
6,16.24514675137425,A
7,36.29975533142671,C
8,88.37970714309851,B
9,43.49264011022337,C
10,52.379077278319166,C
11,27.72583338928517,B
12,69.12240668087367,B
13,90.88347087926763,C
14,49.0098788919496,A
15,2.3622704997218413,B
16,91.010260743901,B
17,29.29441871962072,B
18,9.224794604079612,B
19,10.718470237816035,B
20,59.81781098579404,B
21,49.961644961619854,C
22,39.17400587980025,B
23,5.979584354280432,B
24,75.30101338534277,B
25,53.02054146167028,C
26,83.02879376248309,B
27,59.29787848581146,C
28,33.35534713848624,A
29,15.282884298768328,C
30,34.863406605499726,B
31,87.64716948505759,B
32,93.18971435769788,B
33,50.366742787548525,A
34,10.222661450914671,A
35,42.51669933937438,A
36,25.798583646784678,A
37,17.747527631733917,B
38,57.8085688228391,B
39,57.78363848347197,B
40,69.65635684607136,C
41,4.425976788731855,C
42,18.371850435016768,B
43,52.99136356059976,A
44,29.10188487782033,B
45,26.496122000838074,C
46,16.994346504176338,C
47,72.20061081819554,B
48,69.1988737295814,A
49,50.37064305914121,C
50,54.18338859508839,C
51,62.226198922882915,B
52,76.55230976021814,B
53,38.016527460078805,A
54,95.69262713287618,C
55,44.92604449902004,C
56,9.248013588493498,A
57,43.347019375799356,C
58,62.61138124405471,A
59,8.15253435662201,C
60,15.540885763503265,B
61,64.57514802459143,B
62,74.5648456857812,C
63,96.80201079336132,C
64,90.70908305607904,C
65,90.26070792748898,B
66,58.62499247064813,B
67,86.31058998139174,B
68,13.272105315265758,A
69,22.819281841182672,C
70,80.88124986399002,B
71,99.35995845034496,B
72,16.32534504391876,B
73,42.43170817993847,B
74,5.1169159630060745,C
75,14.959489104059198,B
76,57.181608678637616,C
77,59.60077669956531,C
78,89.65978156821615,B
79,35.315030330432236,C
80,89.32122038027735,A
81,36.26471683466963,B
82,84.26118630213011,A
83,62.58691719309781,C
84,5.279460324565733,B
85,83.77026628503243,B
86,79.05147361540158,A
87,56.9775978829119,A
88,39.34789859854183,B
89,69.08558684176907,A
90,95.48471451290857,C
91,72.15913898208535,B
92,80.24201120416176,B
93,87.7742876403936,A
94,69.06466690506153,C
95,76.93055571759999,C
96,64.00972801984135,A
97,87.13201914258364,B
98,96.07411764933491,A
99,99.50523265726218,C
