id,value,category
0,5.571849216029223,C
1,1.6980376406962039,B
2,40.35474704678481,B
3,42.877013939503016,A
4,33.33766849958904,B
5,75.66081673344681,B
6,31.32787799046699,A
7,50.85937504842062,C
8,33.212620283354234,C
9,76.10531929663547,C
10,60.15289353237235,C
11,45.309993757753155,B
12,92.2869371282137,C
13,56.927665996186036,B
14,47.130058910293315,B
15,64.50087493297228,B
16,91.27081338726546,B
17,77.6867292301034,A
18,79.04143204654724,C
19,91.27876823030357,C
20,3.0745960147437024,B
21,77.26418693763996,A
22,64.74678458981904,A
23,23.46069349100829,C
24,72.39387171906276,A
25,56.541956016597226,C
26,48.0943692533653,C
27,30.891147630295524,A
28,73.24000917327533,C
29,23.5043243456043,A
30,26.480636313769136,C
31,39.66817815389796,C
32,65.80965266315782,B
33,27.963451085858594,C
34,74.44025039732178,B
35,99.44610010749597,C
36,9.557723722103017,B
37,84.02039981444156,C
38,36.556496678564045,C
39,55.76004195172565,C
40,7.407162483924612,B
41,1.035887010382952,C
42,57.29222226880163,C
43,96.38622855025073,A
44,19.5920413735309,B
45,54.393696140212,A
46,92.75459925643949,B
47,64.55855946580233,C
48,55.43792960116727,A
49,49.88198950124128,B
50,95.0188370639461,A
51,23.70042805168261,A
52,38.335133516458086,A
53,22.369359917534094,B
54,66.11537736932841,B
55,21.377209937919638,C
56,81.89584195508863,B
57,69.66377326275027,A
58,82.98781444334351,C
59,64.01969288680817,C
60,60.757852003149715,C
61,13.656892656388575,B
62,92.90627617309423,B
63,20.34020102372476,C
64,92.35912536212557,C
65,92.08337936988768,C
66,69.03145984844747,A
67,89.95772574273644,C
68,18.83771727136785,A
69,63.792065169698716,C
70,40.74950220414164,A
71,99.93842497049343,A
72,38.95937085316088,A
73,7.4802488710537185,B
74,56.2817549702698,C
75,20.447900850406786,A
76,84.97524498601337,A
77,60.430060275508765,A
78,95.2137638020066,C
79,30.126252166064628,C
80,40.23180507042441,A
81,75.85492044654704,A
82,63.302227702799804,B
83,76.41886583840936,B
84,49.89963680727889,C
85,84.4909130007764,C
86,72.40821991105933,C
87,62.0143180697126,A
88,26.980529962514044,C
89,47.15276394417665,B
90,49.0886406654527,B
91,53.70069611235257,C
92,94.3874456072059,B
93,82.39163142545571,C
94,53.450813394157024,B
95,85.93074693128105,B
96,10.32619157493464,B
97,78.21160651455395,A
98,78.64448659233817,C
99,27.204975591398995,B
