id,value,category
0,42.3378325544209,C
1,38.719914166679125,B
2,85.85861428346857,A
3,75.09862436178985,A
4,67.69030525738205,B
5,37.01914533683297,B
6,28.63484296638501,A
7,25.888093382923373,B
8,5.5867960163684005,B
9,46.697679180516225,A
10,84.86758480840547,A
11,5.081255928013951,B
12,86.31119015750238,C
13,24.79999049044568,C
14,41.14165052544254,A
15,98.48687296948071,C
16,83.25032703773145,A
17,18.676832343336603,B
18,69.7412729047757,B
19,84.41837913698254,B
20,76.35332587843087,C
21,17.08901900279657,B
22,43.128724816639355,C
23,17.330315451051003,A
24,48.0459883998407,A
25,40.965721011178026,C
26,62.10023623546961,A
27,18.461071837521338,B
28,89.02286491236835,A
29,97.92951555245781,C
30,65.09172487292602,A
31,25.572330917125118,C
32,60.48097710150828,B
33,42.61993702886764,C
34,84.74840993909338,B
35,47.752634100033205,C
36,57.05042012990078,C
37,68.22610407261529,B
38,8.704787552005866,A
39,7.20712693895006,C
40,32.6200178719517,B
41,41.00721953452301,A
42,8.780580144014372,A
43,44.02108494905873,C
44,22.08494626909101,B
45,36.69822407022121,C
46,61.394162915691666,B
47,56.66479764665083,A
48,65.57037470418915,B
49,42.76535323061007,C
50,87.68070971932602,B
51,71.47308784143497,A
52,23.92348268086787,C
53,3.649626090215785,A
54,96.06244419058893,A
55,27.914035503465108,C
56,50.995512641363874,A
57,94.45670654295813,C
58,86.05744963133634,B
59,51.82219296293751,A
60,58.352349013606556,B
61,42.81748917582075,C
62,40.67129413497362,C
63,39.349256249012235,A
64,71.22696180415222,B
65,28.980908518052072,B
66,54.05803009783956,C
67,95.23790217624901,B
68,33.609698772744935,C
69,49.198059152084284,B
70,73.85068006491316,B
71,66.74730735512544,C
72,64.94484553997073,B
73,77.06956972796608,B
74,46.25844793070595,B
75,41.2514413499829,C
76,16.523090313066014,B
77,16.105573882890056,A
78,29.40178899096648,A
79,74.84084807044708,B
80,11.898794260100543,A
81,35.21051641483379,A
82,0.36911165493629383,C
83,26.90118515474964,A
84,68.93467809982951,A
85,99.85102356237529,A
86,50.85096252570571,B
87,62.60383828919679,A
88,99.8346858590987,A
89,92.74225479465551,A
90,34.31269683993432,B
91,46.015938709932605,A
92,68.65863891499517,A
93,0.7788446752522882,A
94,51.03688434234173,C
95,93.6975034015458,B
96,4.368437927410362,B
97,41.70688902833114,B
98,31.83906091879647,C
99,58.02195634074388,A
