id,value,category
0,95.96928366317073,B
1,92.3087309514601,A
2,3.9075709934835334,C
3,81.79944985820677,B
4,87.10568779780861,C
5,64.60625898249184,B
6,53.003876253603146,C
7,59.0679880051863,C
8,14.613439465859212,C
9,36.18473949215358,C
10,43.87707323247027,B
11,71.5294673331893,A
12,87.91960497012224,C
13,42.6210629349246,A
14,63.20527142152604,C
15,18.728302125628794,C
16,17.62243930675311,C
17,15.996864082523821,A
18,46.772704791163456,A
19,14.351263326747333,B
20,16.49588501788908,A
21,68.95652339377817,A
22,73.733870813712,A
23,30.52869696113052,A
24,25.431820478746193,B
25,25.14754941887023,B
26,35.246853641171874,A
27,35.031760716288105,A
28,21.719669294177947,A
29,38.45297704790557,A
30,75.66363752252462,B
31,42.66056578390579,B
32,91.90604657184565,C
33,7.710744919181334,C
34,3.1116477138030563,B
35,62.04024754389745,A
36,87.3574882677554,B
37,79.07058566510699,A
38,20.31568364342109,C
39,61.7810362216523,C
40,62.19069571893645,A
41,53.226495937693606,A
42,73.85892235863487,C
43,8.607481075838896,C
44,76.43560468616593,B
45,73.77693447391371,B
46,26.99652409806783,A
47,17.91481616934256,B
48,27.507646821211374,A
49,8.580292584355453,A
50,78.78770456571169,C
51,81.10710980758762,C
52,77.30658754456283,C
53,71.245713677174,A
54,22.70710694037802,C
55,32.27989612547262,C
56,99.28439120189081,C
57,71.09829015987371,B
58,67.24118034663286,B
59,70.56220817111716,A
60,52.3334981109425,A
61,61.997184699176934,A
62,82.24714303049538,C
63,80.80640874029432,B
64,97.29966193244665,A
65,33.652825865798405,B
66,21.430529270907705,C
67,13.217571448192922,A
68,47.86095701047219,A
69,29.6774184512251,A
70,99.2180570084694,C
71,53.58186683339077,B
72,4.020460989492369,C
73,85.62419262728828,A
74,9.30901376183476,C
75,53.8395803930105,A
76,59.31004925955122,A
77,2.3445823559915757,B
78,6.511221826563219,B
79,80.45033600470279,C
80,65.81956130162567,A
81,4.7151919249246665,A
82,16.064241439575653,B
83,6.284546770212918,B
84,42.3243673437853,A
85,58.32352329597013,B
86,24.20936565894006,B
87,9.991383300036672,B
88,93.35545805635222,C
89,88.88826872867045,A
90,96.97803105566727,B
91,84.77670574338501,B
92,29.484854598166123,C
93,49.581505185048016,C
94,9.436084786792499,B
95,89.48453933984513,C
96,26.937549848456012,A
97,54.32146769382271,B
98,84.7551490319226,A
99,99.30815580670776,A
